arr_city_name,cabin,tier_points
Porto,C,40
Prague,C,40
Preveza,C,80
Pula,C,40
Punta Cana,C,140
Reykjavik,C,80
Rhodes,C,80
Riga,C,40
Rio De Janeiro,C,140
Riyadh,C,140
Rome,C,40
Rotterdam,C,40
Salzburg,C,40
San Diego,C,140
San Francisco,C,140
San Jose (CA),C,140
San Jose (C’Rica),C,140
San Sebastian,C,40
Santiago,C,160
Santorini,C,80
Sao Paulo,C,140
Seattle,C,140
Seville,C,40
Shanghai,C,140
Sharm El Sheikh,C,80
Skiathos,C,80
Singapore,C,160
Sofia,C,80
Split,C,40
St Kitts,C,140
St Lucia,C,140
Stockholm,C,40
Stuttgart,C,40
Sydney,C,240
Tampa,C,140
Tel Aviv *,C,140
Teneriffe,C,80
Thessaloniki,C,80
Tirana,C,80
Tobago,C,140
Tokyo,C,160
Toronto,C,140
Toulouse,C,40
Turin,C,40
Turks and Caicos,C,140
Valencia,C,40
Vancouver,C,140
Venice,C,40
Verona,C,40
Vienna,C,40
Warsaw,C,40
Washington,C,140
Zakynthos,C,80
Zagreb,C,40
Zurich,C,40
Abu Dhabi,F,210
Abuja,F,210
Accra,F,210
Antigua,F,210
Aruba,F,210
Atlanta,F,210
Austin,F,210
Bahrain,F,210
Baltimore,F,210
Bangkok,F,210
Barbados,F,210
Beijing,F,210
Bengalaru,F,210
Bermuda,F,210
Boston,F,210
Buenos Aires,F,240
Cancun,F,210
Cape Town,F,240
Chennai,F,210
Chicago,F,210
Cincinnati,F,210
Dallas,F,210
Delhi,F,210
Denver,F,210
Doha,F,210
Dubai,F,210
Durban,F,210
Georgetown,F,210
Grand Cayman,F,210
Grenada,F,210
Hong Kong,F,240
Houston,F,210
Hyderabad,F,210
Islamabad,F,210
Johannesburg,F,210
Kingston,F,210
Kuala Lumpur,F,240
Kuwait,F,210
Lagos,F,210
Las Vegas,F,210
Los Angeles,F,210
Male,F,210
Mauritius,F,240
Mexico City,F,210
Miami,F,210
Montreal,F,210
Mumbai,F,210
Nairobi,F,210
Narita,F,240
Nashville,F,210
Nassau,F,210
New Orleans,F,210
New York,F,210
Orlando,F,210
Philadelphia,F,210
Phoenix,F,210
Pittsburgh,F,210
Portland (Oregon),F,210
Port of Spain,F,210
Punta Cana,F,210
Rio De Janeiro,F,210
Riyadh,F,210
San Diego,F,210
San Francisco,F,210
San Jose (CA),F,210
San Jose (C’Rica),F,210
Santiago,F,240
Sao Paulo,F,210
Seattle,F,210
Shanghai,F,210
Singapore,F,240
St Kitts,F,210
St Lucia,F,210
Sydney,F,360
Tampa,F,210
Tel Aviv *,F,210
Tobago,F,210
Tokyo,F,240
Toronto,F,210
Turks and Caicos,F,210
Vancouver,F,210
Washington,F,210
