proxy_price,rounded_lowest_each_way_price,number_of_nights,is_sales_fare,arr_city_name,trip_type,dep_lpf_city_airport_display,dep_airport_name,rounded_lowest_price,lowest_price,dep_city_name,arrival_airport,arr_lpf_city_airport_display,arrival_city,departure_airport,cabin,region_code,arr_airport_name,currency_code,tier_points,tier_points_per_pound
N,105,5,N,Basel,RT,London (Heathrow),Heathrow,209,208.62,London,BSL,Basel,BSL,LHR,C,EUK,Basel,GBP,40.0,0.38
N,209,4,N,Sofia,RT,London (Heathrow),Heathrow,418,417.52,London,SOF,Sofia,SOF,LHR,C,EUK,Sofia,GBP,80.0,0.38
N,105,7,N,Basel,RT,London (Heathrow),Heathrow,209,208.62,London,BSL,Basel,BSL,LHR,C,EUK,Basel,GBP,40.0,0.38
N,106,6,N,Dublin,RT,London (Heathrow),Heathrow,212,211.37,London,DUB,Dublin,DUB,LHR,C,EUK,Dublin,GBP,40.0,0.38
N,105,1,N,Basel,RT,London (Heathrow),Heathrow,209,208.62,London,BSL,Basel,BSL,LHR,C,EUK,Basel,GBP,40.0,0.38
N,107,3,N,Dublin,RT,London (City Airport),City Airport,214,213.09,London,DUB,Dublin,DUB,LCY,C,EUK,Dublin,GBP,40.0,0.38
N,106,1,N,Luxembourg,RT,London (Heathrow),Heathrow,211,210.02,London,LUX,Luxembourg,LUX,LHR,C,EUK,Luxembourg,GBP,40.0,0.38
N,214,1,N,Sofia,RT,London (Heathrow),Heathrow,427,426.52,London,SOF,Sofia,SOF,LHR,C,EUK,Sofia,GBP,80.0,0.38
N,105,4,N,Basel,RT,London (Heathrow),Heathrow,209,208.62,London,BSL,Basel,BSL,LHR,C,EUK,Basel,GBP,40.0,0.38
N,106,1,N,Billund,RT,London (Heathrow),Heathrow,212,211.72,London,BLL,Billund,BLL,LHR,C,EUK,Billund,GBP,40.0,0.38
N,105,2,N,Basel,RT,London (Heathrow),Heathrow,209,208.62,London,BSL,Basel,BSL,LHR,C,EUK,Basel,GBP,40.0,0.38
N,217,2,N,Marrakech,RT,London (Gatwick),Gatwick,433,432.28,London,RAK,Marrakech,RAK,LGW,C,AFR,Marrakech,GBP,80.0,0.37
N,110,4,N,Hamburg,RT,London (Heathrow),Heathrow,220,219.12,London,HAM,Hamburg,HAM,LHR,C,EUK,Hamburg,GBP,40.0,0.37
N,217,1,N,Marrakech,RT,London (Gatwick),Gatwick,433,432.28,London,RAK,Marrakech,RAK,LGW,C,AFR,Marrakech,GBP,80.0,0.37
N,217,5,N,Marrakech,RT,London (Gatwick),Gatwick,433,432.28,London,RAK,Marrakech,RAK,LGW,C,AFR,Marrakech,GBP,80.0,0.37
N,219,7,N,Agadir,RT,London (Gatwick),Gatwick,438,437.28,London,AGA,Agadir,AGA,LGW,C,AFR,Al Massira,GBP,80.0,0.37
N,217,4,N,Istanbul,RT,London (Heathrow),Heathrow,434,433.82,London,IST,Istanbul (Istanbul Airport),IST,LHR,C,EUK,Istanbul Airport,GBP,80.0,0.37
N,110,6,N,Hamburg,RT,London (Heathrow),Heathrow,220,219.12,London,HAM,Hamburg,HAM,LHR,C,EUK,Hamburg,GBP,40.0,0.37
N,217,6,N,Istanbul,RT,London (Heathrow),Heathrow,434,433.82,London,IST,Istanbul (Istanbul Airport),IST,LHR,C,EUK,Istanbul Airport,GBP,80.0,0.37
N,217,6,N,Marrakech,RT,London (Gatwick),Gatwick,433,432.28,London,RAK,Marrakech,RAK,LGW,C,AFR,Marrakech,GBP,80.0,0.37
N,215,7,N,Istanbul,RT,London (Heathrow),Heathrow,430,429.72,London,SAW,Istanbul (Sabiha Gokcen International),IST,LHR,C,EUK,Sabiha Gokcen International,GBP,80.0,0.37
N,217,7,N,Marrakech,RT,London (Gatwick),Gatwick,433,432.28,London,RAK,Marrakech,RAK,LGW,C,AFR,Marrakech,GBP,80.0,0.37
N,110,3,N,Hamburg,RT,London (Heathrow),Heathrow,220,219.12,London,HAM,Hamburg,HAM,LHR,C,EUK,Hamburg,GBP,40.0,0.37
N,217,5,N,Istanbul,RT,London (Heathrow),Heathrow,434,433.82,London,IST,Istanbul (Istanbul Airport),IST,LHR,C,EUK,Istanbul Airport,GBP,80.0,0.37
N,110,5,N,Hamburg,RT,London (Heathrow),Heathrow,220,219.12,London,HAM,Hamburg,HAM,LHR,C,EUK,Hamburg,GBP,40.0,0.37
N,110,7,N,Hamburg,RT,London (Heathrow),Heathrow,220,219.12,London,HAM,Hamburg,HAM,LHR,C,EUK,Hamburg,GBP,40.0,0.37
N,217,3,N,Marrakech,RT,London (Gatwick),Gatwick,433,432.28,London,RAK,Marrakech,RAK,LGW,C,AFR,Marrakech,GBP,80.0,0.37
N,217,4,N,Marrakech,RT,London (Gatwick),Gatwick,433,432.28,London,RAK,Marrakech,RAK,LGW,C,AFR,Marrakech,GBP,80.0,0.37
N,219,2,N,Istanbul,RT,London (Heathrow),Heathrow,437,436.82,London,IST,Istanbul (Istanbul Airport),IST,LHR,C,EUK,Istanbul Airport,GBP,80.0,0.37
N,217,3,N,Istanbul,RT,London (Heathrow),Heathrow,434,433.82,London,IST,Istanbul (Istanbul Airport),IST,LHR,C,EUK,Istanbul Airport,GBP,80.0,0.37
N,221,1,N,Istanbul,RT,London (Heathrow),Heathrow,442,441.52,London,IST,Istanbul (Istanbul Airport),IST,LHR,C,EUK,Istanbul Airport,GBP,80.0,0.36
N,111,4,N,Pisa,RT,London (Heathrow),Heathrow,222,221.82,London,PSA,Pisa,PSA,LHR,C,EUK,Pisa,GBP,40.0,0.36
N,225,1,N,Lanzarote,RT,London (Gatwick),Gatwick,449,448.28,London,ACE,Lanzarote,ACE,LGW,C,EUK,Arrecife,GBP,80.0,0.36
N,113,1,N,Brussels,RT,London (Heathrow),Heathrow,226,225.22,London,BRU,Brussels,BRU,LHR,C,EUK,Brussels,GBP,40.0,0.36
N,225,6,N,Lanzarote,RT,London (Gatwick),Gatwick,449,448.28,London,ACE,Lanzarote,ACE,LGW,C,EUK,Arrecife,GBP,80.0,0.36
N,111,4,N,Brussels,RT,London (Heathrow),Heathrow,222,221.22,London,BRU,Brussels,BRU,LHR,C,EUK,Brussels,GBP,40.0,0.36
N,111,6,N,Brussels,RT,London (Heathrow),Heathrow,222,221.22,London,BRU,Brussels,BRU,LHR,C,EUK,Brussels,GBP,40.0,0.36
