proxy_price,rounded_lowest_each_way_price,number_of_nights,is_sales_fare,arr_city_name,trip_type,dep_lpf_city_airport_display,dep_airport_name,rounded_lowest_price,lowest_price,dep_city_name,arrival_airport,arr_lpf_city_airport_display,arrival_city,departure_airport,cabin,region_code,arr_airport_name,currency_code
N,316,7,N,Jeddah,RT,London (Heathrow),Heathrow,632,631.59,London,JED,Jeddah,JED,LHR,M,MDE,King Abdul Aziz International,GBP
N,39,7,N,Jersey,RT,London (Heathrow),Heathrow,77,76.38,London,JER,Jersey,JER,LHR,M,EUK,Jersey,GBP
N,353,7,N,Johannesburg,RT,London (Heathrow),Heathrow,705,704.69,London,JNB,Johannesburg,JNB,LHR,M,AFR,Johannesburg,GBP
N,78,7,N,Kalamata,RT,London (Heathrow),Heathrow,156,155.49,London,KLX,Kalamata,KLX,LHR,M,EUK,Kalamata,GBP
N,74,7,N,Kefalonia,RT,London (Heathrow),Heathrow,148,147.79,London,EFL,Kefalonia,EFL,LHR,M,EUK,Kefalonia,GBP
N,324,7,N,Kingston,RT,London (Gatwick),Gatwick,648,647.28,London,KIN,Kingston,KIN,LGW,M,SOA,Kingston,GBP
N,103,7,N,Kos,RT,London (Gatwick),Gatwick,205,204.88,London,KGS,Kos,KGS,LGW,M,EUK,Kos,GBP
N,44,7,N,Krakow,RT,London (Heathrow),Heathrow,87,86.09,London,KRK,Krakow,KRK,LHR,M,EUK,Krakow,GBP
N,312,7,N,Kuala Lumpur,RT,London (Heathrow),Heathrow,624,623.29,London,KUL,Kuala Lumpur,KUL,LHR,M,FEA,Kuala Lumpur,GBP
N,222,7,N,Kuwait,RT,London (Heathrow),Heathrow,443,442.49,London,KWI,Kuwait,KWI,LHR,M,MDE,Kuwait,GBP
N,378,7,N,Lagos,RT,London (Heathrow),Heathrow,756,755.59,London,LOS,Lagos,LOS,LHR,M,AFR,Lagos,GBP
N,53,7,N,Lanzarote,RT,London (Gatwick),Gatwick,106,105.48,London,ACE,Lanzarote,ACE,LGW,M,EUK,Arrecife,GBP
N,173,7,N,Lapland,RT,London (Gatwick),Gatwick,346,345.28,London,IVL,Lapland,IVL,LGW,M,EUK,Ivalo,GBP
N,58,7,N,Larnaca,RT,London (Gatwick),Gatwick,116,115.68,London,LCA,Larnaca,LCA,LGW,M,EUK,Larnaca,GBP
N,244,7,N,Las Vegas,RT,London (Gatwick),Gatwick,488,487.38,London,LAS,Las Vegas (Harry Reid Intl),LAS,LGW,M,NOA,Harry Reid Intl,GBP
N,47,7,N,Lisbon,RT,London (Heathrow),Heathrow,93,92.09,London,LIS,Lisbon,LIS,LHR,M,EUK,Lisbon,GBP
N,65,7,N,Ljubljana,RT,London (Heathrow),Heathrow,130,129.39,London,LJU,Ljubljana,LJU,LHR,M,EUK,Joze Pucnik,GBP
N,224,7,N,Los Angeles,RT,London (Heathrow),Heathrow,448,447.09,London,LAX,Los Angeles (Los Angeles International),LAX,LHR,M,NOA,Los Angeles International,GBP
N,31,7,N,Luxembourg,RT,London (Heathrow),Heathrow,62,61.89,London,LUX,Luxembourg,LUX,LHR,M,EUK,Luxembourg,GBP
N,41,7,N,Lyon,RT,London (Gatwick),Gatwick,82,81.08,London,LYS,Lyon (Saint Exupery),LYS,LGW,M,EUK,Saint Exupery,GBP
N,36,7,N,Madrid,RT,London (Heathrow),Heathrow,72,71.89,London,MAD,Madrid,MAD,LHR,M,EUK,Madrid,GBP
N,39,7,N,Malaga,RT,London (Heathrow),Heathrow,77,76.99,London,AGP,Malaga,AGP,LHR,M,EUK,Malaga,GBP
N,306,7,N,Male,RT,London (Heathrow),Heathrow,611,610.09,London,MLE,Male (Male International),MLE,LHR,M,SAS,Male International,GBP
N,55,7,N,Malta,RT,London (Gatwick),Gatwick,109,108.28,London,MLA,Malta,MLA,LGW,M,EUK,Luqa International,GBP
N,36,7,N,Manchester,RT,London (Heathrow),Heathrow,72,71.52,London,MAN,Manchester,MAN,LHR,M,EUK,Manchester,GBP
N,52,7,N,Marrakech,RT,London (Gatwick),Gatwick,103,102.58,London,RAK,Marrakech,RAK,LGW,M,AFR,Marrakech,GBP
N,42,7,N,Marseille,RT,London (Heathrow),Heathrow,84,83.19,London,MRS,Marseille,MRS,LHR,M,EUK,Marseille,GBP
Y,358,7,N,Mauritius,RT,London (Gatwick),Gatwick,715,714.58,London,MRU,Mauritius,MRU,LGW,M,AFR,Mauritius,GBP
N,37,7,N,Menorca,RT,London (Gatwick),Gatwick,74,73.48,London,MAH,Menorca,MAH,LGW,M,EUK,Menorca,GBP
N,361,7,N,Mexico City,RT,London (Heathrow),Heathrow,722,721.79,London,MEX,Mexico City (Mexico),MEX,LHR,M,SOA,Mexico,GBP
N,204,7,N,Miami,RT,London (Heathrow),Heathrow,407,406.09,London,MIA,Miami (Miami International),MIA,LHR,M,NOA,Miami International,GBP
N,41,7,N,Milan,RT,London (Heathrow),Heathrow,81,80.99,London,MXP,Milan (Malpensa),MIL,LHR,M,EUK,Malpensa,GBP
N,48,7,N,Montpellier,RT,London (Gatwick),Gatwick,95,94.18,London,MPL,Montpellier,MPL,LGW,M,EUK,Montpellier,GBP
N,205,7,N,Montreal,RT,London (Heathrow),Heathrow,410,409.99,London,YUL,Montreal,YMQ,LHR,M,NOA,Montreal,GBP
N,257,7,N,Mumbai,RT,London (Heathrow),Heathrow,514,513.49,London,BOM,Mumbai,BOM,LHR,M,SAS,Chhatrapati Shivaji Maharaj Intl,GBP
N,49,7,N,Munich,RT,London (Heathrow),Heathrow,97,96.89,London,MUC,Munich,MUC,LHR,M,EUK,Munich,GBP
N,61,7,N,Mykonos,RT,London (Gatwick),Gatwick,122,121.88,London,JMK,Mykonos,JMK,LGW,M,EUK,Mykonos,GBP
N,352,7,N,Nairobi,RT,London (Heathrow),Heathrow,703,702.09,London,NBO,Nairobi,NBO,LHR,M,AFR,Nairobi,GBP
N,45,7,N,Naples,RT,London (Heathrow),Heathrow,89,88.29,London,NAP,Naples,NAP,LHR,M,EUK,Naples,GBP
N,302,7,N,Nashville,RT,London (Heathrow),Heathrow,603,602.09,London,BNA,Nashville,BNA,LHR,M,NOA,Nashville International,GBP
